Temperature_C,pH,Reciprocal_Substrate,Reciprocal_Rate,Substrate_mM,Initial_Rate_uM_per_min
20,6,1,0.023419203747072598,1,42.7
20,6,0.2,0.021505376344086023,5,46.5
20,6,0.1,0.009643201542912247,10,103.7
20,7,1,0.009624639076034648,1,103.9
20,7,0.2,0.01394700139470014,5,71.7
20,7,0.1,0.01006036217303823,10,99.4
30,6,1,0.0036310820624546117,1,275.4
30,6,0.2,0.0015933715742511153,5,627.6
30,6,0.1,0.001312163758037003,10,762.1
30,7,1,0.002999400119976005,1,333.4
30,7,0.2,0.0011163206072784104,5,895.8
30,7,0.1,0.0008319467554076539,10,1202
37,6,1,0.003005710850616171,1,332.7
37,6,0.2,0.0011546010853250202,5,866.1
37,6,0.1,0.0008360504974500461,10,1196.1
37,7,1,0.0021190930281839372,1,471.9
37,7,0.2,0.0006899406651028011,5,1449.4
37,7,0.1,0.0004961055712655653,10,2015.7
45,6,1,0.008090614886731393,1,123.6
45,6,0.2,0.002290950744558992,5,436.5
45,6,0.1,0.00133422281521014,10,749.5
45,7,1,0.003961965134706815,1,252.4
45,7,0.2,0.001258970162407151,5,794.3
45,7,0.1,0.0010169836265636124,10,983.3
50,6,1,0.031347962382445145,1,31.9
50,6,0.2,0.00546448087431694,5,183
50,6,0.1,0.005583472920156337,10,179.1
50,7,1,0.009009009009009009,1,111
50,7,0.2,0.004053506282934739,5,246.7
50,7,0.1,0.0028208744710860366,10,354.5
